Title,Filename,Caption
Arizona State University,Week-13-Colleges-Logos/asu.png,Change this
Caltech,Week-13-Colleges-Logos/caltech.png,Change this
Harvard University,Week-13-Colleges-Logos/harvard.png,Change this
Massachussetts Institute of Techonology,Week-13-Colleges-Logos/mit.png,Change this
Princeton University,Week-13-Colleges-Logos/princeton.png,Change this
Stanford University,Week-13-Colleges-Logos/stanford.png,Change this
University of Arizona,Week-13-Colleges-Logos/ua.png,Change this
University of Washington,Week-13-Colleges-Logos/uw.png,Change this
Washington State University,Week-13-Colleges-Logos/wsu.png,Change this
Yale University,Week-13-Colleges-Logos/yale.png,Change this
